-10.60|40.682500|Newark  Newark International Airport  NJ|-74.169440|2024-01-05 07:51:00+00|1024.80|55.00|KEWR|-2.80|A Few Clouds|330.00|Northwest|16.10|-9.00||
-10.60|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-05 06:53:00+00|1023.10|55.00|KFRG|-2.80|Fair|340.00|North|6.90|-7.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-05 14:51:00+00|1027.10|47.00|KLGA|-0.60|A Few Clouds|310.00|Northwest|8.10|-4.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 09:51:00+00|1033.50|55.00|KLGA|-2.80|Fair|310.00|Northwest|13.80|||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 09:51:00+00|1033.50|55.00|KLGA|-2.80|Fair|310.00|Northwest|13.80|||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 09:51:00+00|1033.50|55.00|KLGA|-2.80|Fair|310.00|Northwest|13.80|||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 09:51:00+00|1033.50|55.00|KLGA|-2.80|Fair|310.00|Northwest|13.80|||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 17:51:00+00|1032.50|42.00|KLGA|1.10|Mostly Cloudy|230.00|Southwest|9.20|-3.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 17:51:00+00|1032.50|42.00|KLGA|1.10|Mostly Cloudy|230.00|Southwest|9.20|-3.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 17:51:00+00|1032.50|42.00|KLGA|1.10|Mostly Cloudy|230.00|Southwest|9.20|-3.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 17:51:00+00|1032.50|42.00|KLGA|1.10|Mostly Cloudy|230.00|Southwest|9.20|-3.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 17:51:00+00|1032.50|42.00|KLGA|1.10|Mostly Cloudy|230.00|Southwest|9.20|-3.00||
-10.60|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-22 17:51:00+00|1032.50|42.00|KLGA|1.10|Mostly Cloudy|230.00|Southwest|9.20|-3.00||
-10.60|40.793890|Islip  Long Island Mac Arthur Airport  NY|-73.101670|2024-02-05 20:56:00+00|1012.40|29.00|KISP|6.10|A Few Clouds|340.00|North|11.50|3.00||
-10.60|40.793890|Islip  Long Island Mac Arthur Airport  NY|-73.101670|2024-02-05 20:56:00+00|1012.40|29.00|KISP|6.10|A Few Clouds|340.00|North|11.50|3.00||
-10.60|40.793890|Islip  Long Island Mac Arthur Airport  NY|-73.101670|2024-02-05 20:56:00+00|1012.40|29.00|KISP|6.10|A Few Clouds|340.00|North|11.50|3.00||
-10.60|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-01-18 20:56:00+00|1017.90|53.00|KHPN|-2.20|Mostly Cloudy|0.00|North|0.00|||
-10.00|40.682500|Newark  Newark International Airport  NJ|-74.169440|2024-01-18 20:51:00+00|1017.90|44.00|KEWR|1.10|Overcast|190.00|South|6.90|-2.00||
-10.00|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-05 09:51:00+00|1024.40|56.00|KLGA|-2.20|Mostly Cloudy|320.00|Northwest|10.40|-7.00||
-10.00|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-05 16:51:00+00|1025.10|44.00|KLGA|1.10|A Few Clouds|310.00|Northwest|-3.00||11.50|
-10.00|40.793890|Islip  Long Island Mac Arthur Airport  NY|-73.101670|2024-01-05 10:56:00+00|1024.00|60.00|KISP|-3.30|Mostly Cloudy|330.00|Northwest|12.70|-9.00||
-10.00|40.858890|Teterboro  Teterboro Airport  NJ|-74.056670|2024-01-22 14:51:00+00|1035.10|56.00|KTEB|-2.20|Fair|240.00|Southwest|6.90|-6.00||
-9.40|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-02-05 22:51:00+00|1014.60|38.00|KJFK|3.90|A Few Clouds|10.00|North|17.30|-1.00||
-9.40|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-02-05 22:51:00+00|1014.60|38.00|KJFK|3.90|A Few Clouds|10.00|North|17.30|-1.00||
-9.40|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-02-05 22:51:00+00|1014.60|38.00|KJFK|3.90|A Few Clouds|10.00|North|17.30|-1.00||
-9.40|40.682500|Newark  Newark International Airport  NJ|-74.169440|2024-01-04 22:51:00+00|1018.50|41.00|KEWR|2.80|A Few Clouds and Breezy|320.00|Northwest|21.90|-3.00|33.40|
-9.40|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-05 15:53:00+00|1026.20|48.00|KFRG|0.60|Fair|300.00|Northwest|9.20|-4.00||
-9.40|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-14 05:51:00+00|1008.00|42.00|KLGA|2.20|A Few Clouds and Windy|270.00|West|40.30|27.60||
-9.40|40.858890|Teterboro  Teterboro Airport  NJ|-74.056670|2024-01-04 23:51:00+00|1019.70|48.00|KTEB|0.60|Fair|320.00|Northwest|10.40|-4.00|24.20|
-9.40|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-01-19 23:56:00+00|1009.60|68.00|KHPN|-4.40|Overcast|330.00|Northwest|11.50|-11.00||
-9.00|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-01-05 14:56:00+00|1026.60|55.00|KHPN|-1.00|A Few Clouds|310.00|Northwest|11.50|-7.00||
-8.90|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-01-22 13:51:00+00|1035.30|60.00|KJFK|-2.20|A Few Clouds|270.00|West|6.90|-6.00||
-8.90|40.682500|Newark  Newark International Airport  NJ|-74.169440|2024-01-18 21:51:00+00|1018.00|49.00|KEWR|0.60|Overcast|210.00|Southwest|6.90|-3.00||
-8.90|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-20 01:53:00+00|1010.00|63.00|KFRG|-2.80|Mostly Cloudy|330.00|Northwest|6.90|-7.00||
-8.90|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-04 23:51:00+00|1019.00|44.00|KLGA|2.20|A Few Clouds and Breezy|320.00|Northwest|20.70|-4.00|29.90|
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-14 03:53:00+00|1006.00|44.00|KFRG|2.80|A Few Clouds and Breezy|260.00|West|21.90|-3.00|38.00|
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-14 06:53:00+00|1009.10|48.00|KFRG|1.70|Fair|260.00|West|26.50|13.80||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-18 23:53:00+00|1018.80|52.00|KFRG|0.60|Overcast|290.00|West|3.50|||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-01-18 23:53:00+00|1018.80|52.00|KFRG|0.60|Overcast|290.00|West|3.50|||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-02-05 10:53:00+00|1012.50|54.00|KFRG|0.00|Fair|350.00|North|8.10|-4.00||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-02-05 10:53:00+00|1012.50|54.00|KFRG|0.00|Fair|350.00|North|8.10|-4.00||
